original_title,overview
The Unholy Three,"Three sideshow performers leave their lives of captivity and form a conspiracy known as ""The Unholy Three"" - a sideshow ventriloquist, midget, and strongman work together to commit a series of robberies."
Superman/Batman: Apocalypse,"Batman discovers a mysterious teen-aged girl with superhuman powers and a connection to Superman. When the girl comes to the attention of Darkseid, the evil overlord of Apokolips, events take a decidedly dangerous turn."
Gyakufunsha kazoku,"The Kobayashi family finally get the chance to move out of their tiny, cramped Tokyo apartment in favour of the suburban house of their dreams. But all is not well: the house is infested by termites and the family starts cracking up: Son Masaki is studying so obsessively for his exams that he's losing his mind; daughter Erika is oblivious of all but her forthcoming record company audition, grandfather Yasukuni starts getting World War II flashbacks and father Katsuhiko is so worried about his family's ""sickness"" that he thinks can only be cured by group suicide..."
悦楽,"A corrupt businessman blackmails the lovelorn reprobate Atsushi into watching over his suitcase full of embezzled cash while he serves a jail sentence. Rather than wait for the man to retrieve his money, however, Atsushi decides to spend it all in one libidinous rush—fully expecting to be tracked down and killed."
Dombivali Fast,"It is the story of a middle class bank employee, Madhav Apte, an ordinary, law-abiding and honest citizen who faces constant frustration with the injustice and corruption that pervades in all walks of his life. The film portrays Apte's mental breakdown as he reaches his breaking point, and his rampage as a vigilante across Mumbai to set things right."
Song 'e napule,Young musician becomes an undercover agent and is asked to join a neomelodic band in order to allow police to get their hands on an elusive camorra boss.
The Wild Angels,"Peter Fonda plays 'Heavenly Blues', the leader of Hell's Angels chapter from Venice, California while Bruce Dern plays 'Loser', his best pal. When they both botch their attempt to retrieve Loser's stolen bike, Loser ends up in the hospital. When the Angels bust him out, he dies, and they bury him. Nancy Sinatra plays Mike, Blues' ""old lady"" and Diane Ladd plays Loser's wife (Dern's real-life wife at the time). The plot is basically a buildup to the last half-hour of the film in which Loser's funeral becomes another wild party."
Narcissus,"In this short film by Norman McLaren, dancers enact the Greek tragedy of Narcissus, the beautiful youth whose excessive self-love condemned him to a trapped existence. Skilfully merging film, dance and music, the film is a compendium of the techniques McLaren acquired over a lifetime of experimentation."
Wuthering Heights,A musical version of the classic story set in the modern day.
The Sunshine Boys,Two aging comedians who acrimoniously dissolved their act eight years earlier must overcome their differences when they have the chance for a lucrative movie comeback.
Cave In!,"A party of tourists -- including a state senator (Susan Sullivan), a park ranger (Dennis Cole) who was her one-time lover, a cantankerous professor (Ray Milland), and an escaped convict (James Olson) -- are trapped deep inside the caverns of an unnamed national park, rescued briefly, and then caught in a second cave-in. This Irwin Allen mini-disaster film made in 1979 was shelved for a number of TV seasons, as was his ""The Night the Bridge Fell Down"", made back to back with this one by the same director and much of the same crew."
Nothing Too Good for a Cowboy,A group of young adults struggle to run the biggest cattle ranch in the world amidst World War II.
Splitting Heirs,"A member of the English upper class dies, leaving his estate and his business to an American, whom he thinks is his son who was lost as a baby and then found again. An Englishman who thinks he is an Indian comes to believe that he is actually the heir. He comes to hate the American who is his boss, his friend, and the man who has stolen the woman after whom he lusts."
"À mon âge, je me cache encore pour fumer",Α tragi-comedy about 9 women of different ages and various backgrounds that gather in an Algerian hammam to talk about their lives.
The Girl in Black Stockings,A young girl's murder leaves a hotel full of suspects.
My Side of the Mountain,"Film adaption of the novel by Jean Craighead George. A family movie made by Paramount Studios, the story revolves around thirteen-year old Sam Gribley (Teddy Eccles), a devotee of Thoreau, as many were back in the in 1960's. Sam decides to leave the city (set in Toronto) to spend a sabbatical in the Canadian woods and see if he can make it as a self-sufficient spirit after his parents promise a summer trip that doesn't pan out."
The Gallant Hours,"A semi-documentary dramatization of five weeks in the life of Vice Admiral William F. ""Bull"" Halsey, Jr., from his assignment to command the U.S. naval operations in the South Pacific to the Allied victory at Guadalcanal."
A Girl Like Her,"16 year old Jessica Burns has a secret that she’s afraid to share with anyone—except her best friend, Brian Slater. For the past year she’s been victimized by another girl: her former friend, Avery Keller, one of South Brookdale High School’s most popular and beautiful students. What can you do when the world sees the image of a person but not the reality? With Brian’s help and a hidden digital camera, the evidence of Avery’s relentless harassment is captured and finally exposed, bringing both girls and their families face to face with the truth."
富貴列車,"What happens when a glamorous express, with high government officials, wealthy merchants, concubines and a gang of brigands on board, speeds towards the small town of Hanshui, where escaping bank robbers, corrupt officials, and gamblers await? Well, let's just say the Titanic had a smoother maiden voyage."
抱きしめたい -真実の物語-,"Tsukasa got into a severe car accident when she was a high school student. She still suffers from the effects of that accident, with memory impairment and needing to use a wheelchair. Tsukasa falls in love with taxi driver Masaki. Even though they have difficulties, they try to make a happy family together, but they encounter another serious situation."
No Way Back,"When F.B.I. Agent Zack Grant's partner is killed during a blown-up operation, he attempts to find the person responsible. Mafiaso Frank Serlano believes Zack is responsible for his only sons death in the same operation and kidnaps Zacks son to hold as bait. The action gets wild when airline stewardess Mary is taken hostage to add what seems an another insurmountable problem for Zack. There appears to be No Way Out."
Paap,"The story is about a young girl, Kaya (Udita Goswami) , living in the beautifully serene valley of Spiti, waiting to join a Buddhist monastery, an idea which has been fed to her all her life by her father (Mohan Agashe) and one which she has never questioned. When Lama Norbu, a senior lama from the monastery has a dream that the Buddhist teacher, the Rinpoche has been reborn as a young child, he sends Kaya to Delhi on a mission to bring him back to the monastery."
Voyage à travers l'impossible,"Using every known means of transportation, several savants from the Geographic Society undertake a journey through the Alps to the Sun which finishes under the sea."
Blondie Plays Cupid,"The Bumstead family is off to see relatives in the country when Blondie runs into Charlie and Millie, an eloping couple needing her help."
Attenberg,"Marina, 23, is growing up with her architect father in a prototype factory town by the sea. Finding the human species strange and repellent, she keeps her distance. Instead she chooses to observe it through the songs of Suicide, the mammal documentaries of Sir David Attenborough, and the sexual-education lessons she receives from her only friend, Bella. A stranger comes to town and challenges her to a foosball duel, on her own table. Her father meanwhile ritualistically prepares for his exit from the 20th century, which he considers to be ""overrated."" Caught between the two men and her collaborator, Bella, Marina investigates the wondrous mystery of the human fauna."
Ya Shagayu po Moskve,"""I Am Walking Along Moscow"" aka ""Ya Shagayu Po Moskve"" (1963) is a charming lyrical comedy directed by Georgi Daneliya in 1963 that was nominated for Golden Palm at Cannes Film Festival. Daneliya proved that it is possible to create a masterpiece in the most difficult genre of romantic comedy. Made by the team of young and incredibly talented artists that besides Daneliya included writer/poet Gennady Shpalikov, composer Andrei Petrov, and cinematographer Vadim Yusov (who had made four films with Andrei Tarkovski), and the dream cast of the talented actors even in the smaller cameos, ""I Am Walking Along Moscow"" keeps walking victoriously through the decades remaining deservingly one of the best and most beloved Russian comedies and simply one of the best Russian movies ever made. Funny and gentle, dreamy and humorous, romantic and realistic, the film is blessed with the eternal youth and will always take to the walk on the streets of Moscow new generations of the grateful viewers."
"Billy Blazes, Esq.","Billy Blazes confronts Crooked Charley, who has been ruling the town of Peaceful Vale through fear and violence."
A Haunting at Silver Falls,A small town is haunted by the twin daughters of a wrongfully convicted man. Young Jordan is sent down the path to who the real killer is only to find the killer is very close to her.
The One And Only,"When Stevie meets Neil on the day he comes to deliver her brand new kitchen, it's already too late for love at first sight. Too late for both of them. Stevie is already five minutes pregnant by her Italian footballer husband. And too late for Neil too - his wife Jenny has already applied to adopt an African girl. But too late or otherwise, love at first sight is exactly what happens. How can Neil and Stevie get out of their mistaken marriages and into each others arms?"
Alien Abduction,A vacationing family encounters an alien threat in this pulse-pounding thriller based on the real-life Brown Mountain Lights phenomenon in North Carolina.
Erreur de la banque en votre faveur,
Soigne ta droite,"This film is made up several sketches in which certain actors play several real or fictional roles to a background of rock music. The lead character, played by Godard himself, is an annoyingly perfectionist film-maker determined to wring every last drop of the finest performance possible from his stars."
Report to the Commissioner,"Police officer Patty Butler, alias ""Chicklet,"" is the live-in girlfriend of Thomas 'Stick' Henderson to gather evidence. Detective Bo Lockley is instructed to try to find her, not knowing she's also a cop."
Hollywood Adventures,"A young man goes from China to Hollywood on short notice to find his girlfriend. He ends up connected with two others in his quest, which gets much more complicated than he envisioned."
Eddie Izzard: Sexie,"Filmed in Eastbourne where his grandfather and father were born and where he went to school, this show is the funniest live show that could ever be performed by a warm blooded animal."
The Deadly Bees,"Trouble strikes when an exhausted pop singer, sent on a vacation to a farm, realizes that the farm's owner grows deadly bees."
Under the Skin,"Jonathan Glazer's atmospheric, visually arresting abstraction stars Scarlett Johansson as a seductive alien who prowls the streets of Glasgow in search of prey: unsuspecting men who fall under her spell, only to be consumed by a strange liquid pool."
Lost Souls,"A small group of Catholics led by an ailing priest believe that Satan intends to become man, just as God did in the person of Jesus. The writings of a possessed mental patient lead them to Peter Kelson, a writer who studies serial killers. They think it's his body Satan will occupy. The youngest in the group, a teacher named Maya Larkin, goes to Peter to investigate further and to convince him to believe in the possibility of Evil incarnate. Other signs come to him as he and Maya them take a journey full of strange occurrences, self-discovery, and an ultimate showdown"
"VeggieTales: Lyle, the Kindly Viking","Oh, my! Determined to present something ""classy"" for a change, Archibald Asparagus has taken over VeggieTales! Assisted by those rascally French Peas, Archibald aims for new heights in veggie programming by attempting to produce ""the world's first all-vegetable staging of Shakespeare's Hamlet,"" the first-ever ""Classy Songs with Larry,"" and for the grand finale, the world premiere of what he believes to be Gilbert and Sullivan's lost musical: Lyle the Kindly Viking! Of course, working with the French Peas as assistants is a recipe for disaster and in the chaos - and hilarity - that ensues, Bob, Larry, and Junior all learn a great lesson about sharing. Archibald, on the other hand, mostly just learns to never again work with the French Peas. Don't miss Junior Asparagus as ""Lyle the Kindly Viking"" in this hilarious VeggieTales musical adventure! Your whole family will sing - and laugh - along as they learn that ""sharing gets us more of what we really want - friends!"""
Barbie: Mariposa and The Fairy Princess,"Mariposa and her furry friend Zee returns in Barbie: Mariposa &amp; the Fairy Princess. In this magical adventure, Mariposa becomes the Royal Ambassador of Flutterfield, and is sent to bring peace between her fairy land and their rivals, the Crystal Fairies of Shimmervale. While Mariposa doesn't make a great first impression on  the King, she becomes fast friends with his shy daughter, Princess Catania. However, a misunderstanding causes Mariposa to be banished from their fairy land. As Mariposa and Zee returns to Flutterfield, they encounter a dark fairy on her way to destroy Shimmervale. Mariposa rushes back and helps Princess Catania to save their fairy land and together, the two girls prove that the best way to make a friend, is to be a friend."
Killer Force,"Head of company security, Harry Webb, fears that a diamond theft is about to take place at their major mining complex deep in the desert. He quickly manages to become very unpopular, particularly with Claire Chambers, a celebrated cover girl, daughter of the mine administrator. She is visiting the man she loves, Mike Bradley, who is responsible for security at the mine. Nelson, the mine administrator, gives Bradley a curious mission - to steal a diamond. He wants to implicate Bradley in order to bring him into contact with a certain Lewis who is preparing to rob the mine with the aid of a group of mercanaries and a local accessory known as Father Christmas. Webb, not being informed of the deceit, relentlessly pursues Bradley, who is contacted by Lewis. With the mercanaries in the process of penetrating the mine. Bradley reveals himself to be Father Christmas, the organiser of the entire operation..."
Le prix du danger,"In a futuristic society, contestants pit their survival skills against each other in a fight to the death for cash prizes, and the contest is aired live on television."
Allotment Wives,Unscrupulous women marry servicemen for their pay.
Varian's War,"Varian Fry rescues more than 2,000 artists from Nazi persecution during World War II."
Our City Dreams,"Filmed over the course of two years, Our City Dreams is the story of a woman's struggles and successes as an artist in New York City. Told through five women artists, from youngest to oldest, the film features Swoon, Ghada Amer, Kiki Smith, Marina Abramovic, and Nancy Spero. From the studio to the streets of New York, from the canals of Venice to the alleys of Cairo and the beaches of Phuket, Our City Dreams takes us deep into the artists' worlds."
Hotte im Paradies,"Hotte, a Berlin-based pimp with only modest turnovers, suddenly becomes a big player in the prostitution business. He has three girls on the streets: Rosa is in love with Hotte and is working hard for him. Jenny, the new girl, is an unconventional prostitute but nevertheless much sought-after by her clients. And the third girl, Yvonne, also brings in a large turn-out. So, Hotte’s proceeds are more than sufficient to buy expensive accessoires and to boost his reputation with the other pimps. But when Yvonne quits her job and Jenny starts to work for another pimp, Hotte’s rise comes to a sudden end"
Scene of the Crime,A cop investigates the shooting of another policeman... that may have been involved in crooked activities.
The Newton Boys,"Four Newton brothers are a poor farmer family in the 1920s. The oldest of them, Willis, one day realizes that there's no future in the fields and offers his brothers to become a bank robbers. Soon the family agrees. They become very famous robbers, and five years later execute the greatest train robbery in American history."
The Shadow in the North,"When an elderly client loses a fortune on an investment, fearless Sally Lockhart will stop at nothing to rectify the situation — even if it means risking everything important to her in the process. As Sally sorts out the threads of the mystery — a magician being pursued by thugs, a clairvoyant who sees a brutal murder in the woods and a rich, heartless industrialist on a mad mission — nothing fits together. But as Sally closes in on the truth, it becomes devastatingly clear that her life will be forever altered."
Scusate il ritardo,"Vincenzo, a 30 years old apathetic and lazy man who still lives with his mother, has no job and no desire to improve. He meets Anna and fell in love with her but to keep the relationship alive he has to learn to accept more responsibility."
Ayan,"Deva (Surya Sivakumar) arrives at the Chennai International Airport after running an errand for Arumuga Dass (Prabhu Ganesan) of smuggling pre-release pirated movies on DVD. The two leave for their hideout and instruct Dilli (Karunas), a hearing-impaired assistant of Dass, to make copies of the DVD. Just when police crews arrive into their vicinity, Dass informs Deva and the rest to leave. Deva tells the others to leave while he quickly sets up the burning process. Deva also leaves the hideout just in time. However, the police officers arrive at the hideout, only to see the burning process of the DVDs complete. The police then seize the DVDs and computers. The inspector, who was a friend of Dass, tells him that he can close the case if one of Dass's men agrees to the crime. Deva attempts to go, but another man, Chitti (Jegan), who had no affiliation to them volunteers, takes the blame. Later, Chitti joins Dass's group."
Sivi kamion crvene boje,"Belgrade, the summer of 1991. Yugoslavia is falling apart. Gavran can't get a driving licence because he is color blind. He is a rural Bosnian introvert obsessed with trucks. So, as soon as he is released from prison, he steals a truck to go on a joyride. Suzana, a city girl, discovers she is pregnant, but until she's due for an abortion, she decides to go to Dubrovnik. She hitchikes and Gavran almost runs her over. She is unhurt, but she blackmails him to take her to Dubrovnik. Two people from different worlds, equally removed from the real one. For him she is the first woman he can talk to; for her he is just another idiot to add to the long list of them that she has so far compiled. But the pressure of danger and the intimations of war force them together. The world about them has become so absurd that they seem to each other the only sober people left."
À perdre la raison,"Young and full of life, Murielle (Emilie Dequenne, Rosetta) has a promising future ahead of her when she meets and falls head over heels for Mounir (Tahar Rahim, A Prophet). A wedding soon follows, and the happy couple quickly set about preparing to make a family. However, with family come ties, and none come as tight as that between Mounir and his adoptive father (Niels Arestrup, A Prophet, Sarah's Key).  As Murielle continues to bring new life into the family, frictions between Mounir and Doctor Pinget reach boiling point. Helpless to extract her husband and children from the wealthy nest that Doctor Pinget has provided for them, Murielle is drawn into an unhealthy family dynamic. There is only one way out of this nightmare, and for Murielle all sense of reasoning begins to abandon her."
Breaking and Entering,"Set in a blighted, inner-city neighbourhood of London, Breaking and Entering examines an affair which unfolds between a successful British landscape architect and Amira, a Bosnian woman – the mother of a troubled teen son – who was widowed by the war in Bosnia and Herzegovina."
Killer Fish,Jewel thieves attempt to recover treasure from piranha infested waters. Mistrust and betrayals happen amongst the gang in the quest for gold.
Vam i Ne Snilos,"Vam i ne snilos... A movie about two high school kids who meet in class and fall madly in love with each other. Unfortunately, His father and her mother had a history of their own between them which creates uneasiness in both of them. Also because of that, the boy's mother is very jealous and tries to separate them. The only person that tries to help them is their teacher who has relationship problems of her own."
Born to Raise Hell,"A hard core Interpol Agent is assigned to an Eastern European task force to target gun trafficking and dope running throughout the Balkans. While investigating a Russian gun dealer, his team is caught in a bloody street war between a Gypsy gang and the Russians, leaving one task force member dead. Fueled with vengeance, he leads us on an action packed thrill ride while avenging his friend's death."
Karami-ai,"On his deathbed, a wealthy businessman announces that his fortune is to be split equally among his three illegitimate children, whose whereabouts are unknown to his family and colleagues. A bevy of lawyers and associates then begin machinations to procure the money for themselves, enlisting the aid of impostors and blackmail"
Toiset tytöt,"Other Girls tells the story of four young girls nearing graduation, all of them struggling with various issues."
Mammoth,"On a hot summer afternoon in the sleepy town of Blackwater Louisiana, a meteor streaks across the sky and crashes through the roof of the local Natural History Museum. The meteor is actually a spaceship containing an alien life form which animates the museum's partially frozen Woolly Mammoth and begins a rampage. Local authorities and Government Investigators join forces with Frank Abernathy, the Museum Curator, and his father Simon, a B-Movie enthusiast, to bring down the giant mammoth in this alien-invasion flick!"
37°2 le matin,"Betty Blue, a mentally unbalanced and sexually aggressive free spirit who becomes involved with Zorg, a repairman moonlighting as a writer. The two engage in a variety of sexual encounters, and grow more passionate toward each other. Betty finds Zorg’s book and is aggressively supportive; over time, her instability begin to catch up with her, leading to a grisly and shocking conclusion."
La Boîte noire,"An accident survivor wakes from a coma and confronts old, uncomfortable memories."
The Devil Is a Woman,"In the carnival in Spain in the beginning of the Twentieth Century, the exiled republican Antonio Galvan comes from Paris masquerade to enjoy the party and visit his friend Capt. Don Pasqual 'Pasqualito' Costelar. However, he flirts with the mysterious Concha Perez and they schedule to meet each other later. When Antonio meets Pasqualito, his old friend discloses his frustrated relationship with the promiscuous Concha and her greedy mother and how his life was ruined by his obsession for the beautiful demimondaine. Pasqualito makes Antonio promise that he would not see Concha. However, when Antonio meets Concha, she seduces him and the long friendship between Antonio and Pasqualito is disrupted"
A Town Has Turned to Dust,"An innocent Mexican boy is sacrificed to a lynching mob by an ineffectual sheriff. The slaughter leads to a brooding darkness involving the remorseful relatives of the Mexican youngster and the sullen townspeople. Almost by a chain reaction there is established a second set of circumstances inviting a lynching of the Mexican's brother. Only this time the sheriff recaptures a shred of human dignity and saves the brother, if not the town."
The SpongeBob SquarePants Movie,"There's trouble brewing in Bikini Bottom. Someone has stolen King Neptune's crown, and it looks like Mr. Krab, SpongeBob's boss, is the culprit. Though he's just been passed over for the promotion of his dreams, SpongeBob stands by his boss, and along with his best pal Patrick, sets out on a treacherous mission to Shell City to reclaim the crown and save Mr. Krab's life."
Iliza Shlesinger: War Paint,"Her innocent appearance is just a cover for Last Comic Standing winner Iliza Shlesinger's acerbic, stream-of-conscious comedy that she unleashes on an unsuspecting audience in her hometown of Dallas in ""War Paint,"" her first stand-up special."
Wrong,"Dolph Springer wakes up one morning to realize he has lost the love of his life, his dog, Paul. During his quest to get Paul (and his life) back, Dolph radically changes the lives of others -- risking his sanity all the while."
The Boy in the Plastic Bubble,"Based on a true story, Tod Lubitch is born with a deficient immune system (which is unlike being born with AIDS). As such, he must spend the rest of his life in a completely sterile environment. His room is completely hermetically sealed against bacteria and virus, his food is specially prepared, and his only human contact comes in the form of gloved hands. The movie follows his life into a teenager"
เรื่องตลก 69,"A woman, fired from a financial coorporation during the Asia crisis, returns home with no money. However, she finds a box with a fortune in front of her door, and decides to keep it. However, the people that left it there soon want it back."
Burglar,"Bernice ""Bernie"" Rhodenbarr is a burglar by trade, and she runs a bookstore as well. Her friend Carl Hefler is a dog groomer. After a successful burglary, it's discovered that a dead body was in the house she burgled. As she's the only one who can be placed at the scene of the crime, she has to use her criminal skills to clear her name of the murder AND avoid getting charged with the burglary."
The Unknown Cyclist,A man's dying wish is for the people in his life to participate in a 450-mile charity bicycle ride through Northern California.
Phantasm II,"Mike, after his release from a psychiatric hospital, teams up with his old pal Reggie to hunt down the Tall Man, who is at it again. A mysterious, beautiful girl has also become part of Mike's dreams, and they must find her before the Tall Man does."
Baby Snakes,"Rock artist Frank Zappa hosts a concert in New York City. This movie contains tons of on-stage footage, off-stage footage, and animation."
Jat go zi tau di daan sang,"This arty triad flick from Wai Ka-Fai and Johnnie To is as good as genre pictures get in this era. Lau Ching-Wan is Kau, a small potato in the triad world who must make a fateful decision to discover who he is. With that decision, his life can diverge in two paths, each leading to an ultimate fate."
Live and Let Die,James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.
Sadie Thompson,"Sadie Thompson arrives in Pago-Pago to start a new life, but when extremist missionary Davidson lashes out against her lifestyle and tries to force her back to San Francisco, she may lose her second chance."
Bang Bang!,"A girl gets mixed up with a spy trying to clear his name. A chance encounter of the unassuming bank receptionist Harleen Sahni with the charming yet mysterious Rajveer Nanda, results in an on-rush of ditched planes, car chases, shoot-outs, bombing raids and general global mayhem. But as the transcontinental chase ensues with Rajveer convincing Harleen that he's the good guy, can she really trust him, and will trust matter when the bullets start flying?"
Milk and Honey,"Over one night in New York City, lives of disparate strangers intersect by fate and circumstance."
Djävulens öga,"The devil has a stye in his eye, caused by the purity of a vicar's daughter. To get rid of it, he sends Don Juan up from hell to seduce the 20 year old Britt-Marie and to rob her of her virginity and her belief in love. She however can resist him and things get even turned around when Don Juan falls in love with her. The fact that he feels love for the first time now, makes him even less attractive to her and Don Juan returns to hell."
Deliver Us from Eva,"Eva Dandridge is a very uptight young woman who constantly meddles in the affairs of her sisters and their husbands. Her in-laws, who are tired of Eva interfering in their lives, decide to set her up with someone so she can leave them alone. They end up paying Ray, the local ""playboy,"" $5,000 to date her. The plan goes by smoothly, but troubles comes when Ray actually falls in love with Eva."
The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."
Mrtav 'ladan,"The basic plot revolves around drug dealer Limeni (Tin Man) who is said to have no heart, and two men, Lemi and Kiza, who are trying to transport their dead grandfather for burial, until their car breaks down and they end up struggling to get him home onboard a train. This is when these two plots intersect and all hell breaks loose."
Swat: Unit 887,"A non-stop, race against time action packed thriller that follows an elite SWAT Team as they try to stop a domestic terrorist from killing innocent hostages and destroying the city of Los Angeles. With 24 hours left on the clock, the team must rely on their instincts and unique skill set to stop the attack and bring justice."
The Wandering Soul Murders,"Haunted by the murder of her politician husband 6 years ago, former police detective Joanne Kilbourn (Wendy Crewson) keeps looking for clues, with the help of her old partner (Victor Garber). When a prime suspect is caught, it looks as if the killer may finally be brought to justice … but in a shocking turn of events, the suspect is gunned down as he's brought to the police station. Is there more to her husband's death than Joanne realized?"
Dog Star Man: Part II,"A man, accompanied by a dog, struggles through snow on a mountain side. We see film stock blister; drawn square shapes appear. Then, we see an infant's face. The images of struggling climber, baby, blurred film stock, large snow flakes, and what may be microscopic details of matter are superimposed on each other, one dominating the frame briefly to be replaced by another. As the man falls in the snow and tries to regain his feet, the baby continues to appear, first with eyes closed. Alternately, images rush by - montages of paper cutouts and life under a microscope."
Nightmare Sisters,"Melody, Marci, and Mickey are three geeky college girls who can't get a date. One night, they invite some geeky college guys over and have a seance that results in the girls becoming possessed and turning into sex starved vamps. Will the geek hero guys be able to stop the horrible (?) possession?"
Eddie,"Eddie is a New York limo driver and a fanatical follower of the New York Knicks professional basketball team. The team is struggling with a mediocre record when, in mid-season, ""Wild Bill"" Burgess, the new owner, as a public relations gimmick, stages an 'honorary coach' contest, which Eddie wins. The fans love it, so ""Wild Bill"" fires the coach and hires her. She takes the bunch of overpaid prima"
Lorenzo,"A cat, Lorenzo, is dismayed to discover that his tail has developed a personality of its own."
疯狂的赛车,"An action-adventure story focused on the lives of express deliverymen, traffic cops and lonely beauties."
Lou,A Pixar short about a lost-and-found box and the unseen monster within.
Hector,"Hector has been living on the motorways for years. His once comfortable family life has been replaced by a never-ending tour of service stations that offer him shelter, anonymity, washing facilities and food. The story follows his journey south from Scotland on his annual pilgrimage to a temporary Christmas shelter in London where he finds comfort, friendship and warmth. Over the course of his Homeric journey, Hector decides to reconnect with his long estranged past. As his previous life catches up with him, the story of how he came to be leading a marginal life begins to emerge."
Tukkijoella,"“Tukkijoella” (Log River – 1928). Films of this genre gave the Finnish cinema and the viewing public one of its most popular characters – the lumberjack (tukkijatka, tukkipoika, tukkilainen) who at his most heroic hour becomes the log-roller or the shooter of rapids (koskenlaskija). The significance of this character in Finnish film is comparable to that of the Cowboy on American cinema. He is the pioneer, the wanderer, the adventurer. He negotiates the frontier, he is an embodiment of the conflict between wilderness and civilization."
You Lucky Dog,A man leaves his fortune to his dog.
Risky Business,"Meet Joel Goodson, an industrious, college-bound 17-year-old and a responsible, trustworthy son. However, when his parents go away and leave him home alone in the wealthy Chicago suburbs with the Porsche at his disposal he quickly decides he has been good for too long and it is time to enjoy himself. After an unfortunate incident with the Porsche Joel must raise some cash, in a risky way."
Halloween: Resurrection,"Serial Killer Michael Myers is not finished with Laurie Strode, and their rivalry finally comes to an end. But is this the last we see of Myers? Freddie Harris and Nora Winston are reality programmers at DangerTainment, and are planning to send a group of 6 thrill-seeking teenagers into the childhood home of Myers. Cameras are placed all over the house and no one can get out of the house... and then Michael arrives home!"
A Misteriosa Morte de Pérola,"Away from home, living alone in an old and gloomy apartment, Pérola feels the effects of the time passing, being increasingly taken by nostalgia and fear to a point where dream, fantasy and reality lose its borders."
Off the Charts: The Song-Poem Story,"Like a warped fun-house mirror, the song-poem industry has run parallel to the mainstream music business for close to a century; it's estimated that over 200,000 song-poems have been recorded since 1900. The genre's durability can be traced to three of our deepest American desires - to be in show business, to get rich quick, and to share and express our deepest feelings. We meet several of the ""songwriters"" - from an elderly woman to a young African-American man to a small-town Iowan with big-time dreams - each of whom has been in the ""business"" for awhile, churning out odd compositions that cover the waterfront of American obsessions, from Jesus to genitalia, from politics to Elvis. We also meet the producers (often known as song-sharks) who hold out the tantalizing promise of fame to their eager customers, and the has-been musicians who sit in studios, day after day and year after year..."
Tout pour plaire,"Three women in their late thirties, one with marital problems, one trying to be perfect, and a spinster, discuss their relationship to men."
Space Cop,"Space Cop is the story of a cop from the future of space who travels back in time to the present and is teamed up with a cop from the past who is unfrozen in the present. Together, they must defeat evil aliens with a sinister plan. Out of time and out of place, these two unwitting heroes must work together to save the world from a group of renegade aliens and the re-animated brain of a mad scientist bent on global extinction."
پل چوبی,It is about life of a young couple who want to migrate from their country. But the arrival of Nazli makes problems...
गर्म हवा,"In post-Partition India, a Muslim businessman and his family struggle for their rights in a country which was once their own."
All You Need is Love - Meine Schwiegertochter ist ein Mann,When Katharina got an unexpected letter from her son Hans announcing that he was getting married and that he and his fiancé Nicki were leaving Berlin to come visit her...
The Maltese Bippy,"A man buys a house and comes to believe that not only is the house haunted by werewolves, but a family of vampires lives next door."
Wristcutters: A Love Story,"Zia, distraught over breaking up with his girlfriend, decides to end it all. Unfortunately, he discovers that there is no real ending, only a run-down afterlife that is strikingly similar to his old one, just a bit worse. Discovering that his ex-girlfriend has also ""offed"" herself, he sets out on a road trip, with his Russian rocker friend, to find her. Their journey takes them through an absurd purgatory where they discover that being dead doesn't mean you have to stop livin'!"
Chelsea Walls,"This movie tells five stories set in a single day at the famed Chelsea Hotel in New York City, involving an ensemble cast of some 30-35 characters."
Gangster Squad,"Los Angeles, 1949. Ruthless, Brooklyn-born mob king Mickey Cohen runs the show in this town, reaping the ill-gotten gains from the drugs, the guns, the prostitutes and — if he has his way — every wire bet placed west of Chicago. And he does it all with the protection of not only his own paid goons, but also the police and the politicians who are under his control. It’s enough to intimidate even the bravest, street-hardened cop… except, perhaps, for the small, secret crew of LAPD outsiders led by Sgt. John O’Mara and Jerry Wooters who come together to try to tear Cohen’s world apart."
"Chronic-Con, Episode 420: A New Dope","In response to Morgan Spurlock's COMIC-CON: A FAN'S HOPE, comedian Doug Benson (SUPER HIGH ME) stars in this doc that looks at San Diego Comic-Con from his hazy perspective. Featuring fellow pot and film fanatics Kevin Smith, Brian Posehn, Joe Rogan and even Spurlock himself, it's a fun look at a rapidly growing cultural event."
Hologram Man,"Five years after the mad terrorist Norman Galagher was sentenced to holographic stasis, he is given a parole hearing. But an equipment failure engineered by his cronies transforms the criminal into a living hologram with god-like powers. Now, stopping him is up to Kurt Decoda, the man who as a police rookie was responsible for arresting Galagher."
Be Kind Rewind,"A man whose brain becomes magnetized unintentionally destroys every tape in his friend's video store. In order to satisfy the store's most loyal renter, an aging woman with signs of dementia, the two men set out to remake the lost films."
